comparison,a,b,metric,diff,lo,hi,p_raw,p_holm,sig_holm
Dialect gap in answers (k=5),B,A,correct,-0.12,-0.19,-0.055,0.00025,0.002,yes
Dialect gap in answers (k=5),B,A,token_f1,-0.0879378852046361,-0.1322157759294958,-0.045388420881436076,0.00025,0.002,yes
Cost of k=1 without reranking,C,B,correct,-0.13,-0.2,-0.05987499999999954,0.0005,0.003,yes
Cost of k=1 without reranking,C,B,token_f1,-0.058434044930615506,-0.10538269494206809,-0.01381594822678348,0.0075,0.0375,yes
Reranking at k=1,F,C,correct,0.145,0.095,0.195,0.00025,0.002,yes
Reranking at k=1,F,C,token_f1,0.0853387642858231,0.05389726633932516,0.1186732063402284,0.00025,0.002,yes
Reranked k=1 vs retrieval k=5,F,B,correct,0.015,-0.05,0.08,0.718,1.0,no
Reranked k=1 vs retrieval k=5,F,B,token_f1,0.026904719355207617,-0.011261209869975312,0.06473640281145518,0.178,0.534,no
Reranking at k=5,E,B,correct,-0.005,-0.06,0.05,0.9265,1.0,no
Reranking at k=5,E,B,token_f1,0.00015632234410095536,-0.03352761328814689,0.03529695803377076,0.9935,0.9935,no
"Normalisation, end to end",D,B,correct,-0.055,-0.115,0.01,0.113,0.452,no
"Normalisation, end to end",D,B,token_f1,-0.029252109270747083,-0.06641887602948504,0.006243676416017264,0.1075,0.43,no
Gating vs always reranking (k=1),G,F,correct,-0.01,-0.025,0.0,0.284,0.8519999999999999,no
Gating vs always reranking (k=1),G,F,token_f1,-0.005532467532467533,-0.01753246753246753,0.0026493506493506496,0.362,0.724,no
Headroom to the oracle,H,F,correct,0.06,0.025,0.1,0.002,0.01,yes
Headroom to the oracle,H,F,token_f1,0.03464706224844476,0.01434683503529886,0.057446436956003454,0.00025,0.002,yes
