other,metric,diff,lo,hi,n,verdict
A,correct,-0.125,-0.195,-0.055,200,H WORSE
A,token_f1,-0.0263861036009837,-0.06503763891387768,0.013639614894698959,200,n.s.
B,correct,-0.03,-0.1,0.04,200,n.s.
B,token_f1,0.061551781603652385,0.021828567938633425,0.10011166895124653,200,H better
C,correct,0.175,0.115,0.235,200,H better
C,token_f1,0.11998582653426787,0.08500986272629941,0.1587208504571788,200,H better
D,correct,0.03,-0.05,0.11,200,n.s.
D,token_f1,0.09080389087439947,0.04999125215362706,0.13421433732411808,200,H better
E,correct,-0.02,-0.09,0.05,200,n.s.
E,token_f1,0.06139545925955142,0.022973239832527304,0.09970863332562668,200,H better
F,correct,0.05,0.01,0.09,200,H better
F,token_f1,0.03464706224844476,0.013723442378178685,0.058530950725151784,200,H better
G,correct,0.06,0.015,0.105,200,H better
G,token_f1,0.040179529780912285,0.018097087751501453,0.06594069554917052,200,H better
