encoder,alpha,variant,R@1,R@3,R@5,R@10,MRR
paraphrase-multilingual-MiniLM-L12-v2,0.0,msa_query,0.8033333333333333,0.88,0.9033333333333333,0.9233333333333333,0.8482301587301587
paraphrase-multilingual-MiniLM-L12-v2,0.0,darija_query,0.5633333333333334,0.7266666666666667,0.7633333333333333,0.8033333333333333,0.6507460317460317
paraphrase-multilingual-MiniLM-L12-v2,0.0,M4_rulebased,0.5433333333333333,0.7,0.74,0.7933333333333333,0.6264272486772486
paraphrase-multilingual-MiniLM-L12-v2,0.0,M3_rule_expansion,0.5533333333333333,0.72,0.76,0.8033333333333333,0.6418902116402116
paraphrase-multilingual-MiniLM-L12-v2,0.2,msa_query,0.83,0.9,0.9166666666666666,0.93,0.867638888888889
paraphrase-multilingual-MiniLM-L12-v2,0.2,darija_query,0.6,0.73,0.7666666666666667,0.8133333333333334,0.672760582010582
paraphrase-multilingual-MiniLM-L12-v2,0.2,M4_rulebased,0.59,0.7233333333333334,0.76,0.8133333333333334,0.6643108465608466
paraphrase-multilingual-MiniLM-L12-v2,0.2,M3_rule_expansion,0.59,0.7266666666666667,0.76,0.8066666666666666,0.6667460317460318
paraphrase-multilingual-MiniLM-L12-v2,0.4,msa_query,0.8466666666666667,0.9066666666666666,0.9233333333333333,0.9366666666666666,0.8781574074074073
paraphrase-multilingual-MiniLM-L12-v2,0.4,darija_query,0.61,0.7233333333333334,0.7566666666666667,0.8033333333333333,0.6728201058201058
paraphrase-multilingual-MiniLM-L12-v2,0.4,M4_rulebased,0.6266666666666667,0.7466666666666667,0.78,0.82,0.6931190476190476
paraphrase-multilingual-MiniLM-L12-v2,0.4,M3_rule_expansion,0.6,0.7233333333333334,0.7566666666666667,0.8133333333333334,0.6702936507936508
paraphrase-multilingual-MiniLM-L12-v2,0.6,msa_query,0.8366666666666667,0.9133333333333333,0.92,0.9333333333333333,0.8752910052910052
paraphrase-multilingual-MiniLM-L12-v2,0.6,darija_query,0.5466666666666666,0.6733333333333333,0.6866666666666666,0.73,0.6105410052910053
paraphrase-multilingual-MiniLM-L12-v2,0.6,M4_rulebased,0.6233333333333333,0.7366666666666667,0.77,0.8366666666666667,0.6891507936507937
paraphrase-multilingual-MiniLM-L12-v2,0.6,M3_rule_expansion,0.5833333333333334,0.69,0.7166666666666667,0.76,0.6432050264550264
paraphrase-multilingual-MiniLM-L12-v2,0.8,msa_query,0.7466666666666667,0.8466666666666667,0.8733333333333333,0.9133333333333333,0.8013187830687831
paraphrase-multilingual-MiniLM-L12-v2,0.8,darija_query,0.4,0.5,0.5266666666666666,0.5833333333333334,0.4607843915343915
paraphrase-multilingual-MiniLM-L12-v2,0.8,M4_rulebased,0.5166666666666667,0.6333333333333333,0.67,0.7533333333333333,0.5889642857142857
paraphrase-multilingual-MiniLM-L12-v2,0.8,M3_rule_expansion,0.44,0.53,0.56,0.6333333333333333,0.49539021164021163
paraphrase-multilingual-MiniLM-L12-v2,1.0,msa_query,0.5066666666666667,0.67,0.7333333333333333,0.7966666666666666,0.6029140211640212
paraphrase-multilingual-MiniLM-L12-v2,1.0,darija_query,0.23333333333333334,0.31666666666666665,0.36666666666666664,0.4166666666666667,0.28750925925925924
paraphrase-multilingual-MiniLM-L12-v2,1.0,M4_rulebased,0.3333333333333333,0.4533333333333333,0.5366666666666666,0.5933333333333334,0.4122156084656085
paraphrase-multilingual-MiniLM-L12-v2,1.0,M3_rule_expansion,0.19666666666666666,0.32,0.36333333333333334,0.43666666666666665,0.27232142857142855
multilingual-e5-base,0.0,msa_query,0.8033333333333333,0.88,0.9033333333333333,0.9233333333333333,0.8482301587301587
multilingual-e5-base,0.0,darija_query,0.5633333333333334,0.7266666666666667,0.7633333333333333,0.8033333333333333,0.6507460317460317
multilingual-e5-base,0.0,M4_rulebased,0.5433333333333333,0.7,0.74,0.7933333333333333,0.6264272486772486
multilingual-e5-base,0.0,M3_rule_expansion,0.5533333333333333,0.72,0.76,0.8033333333333333,0.6418902116402116
multilingual-e5-base,0.2,msa_query,0.83,0.9166666666666666,0.92,0.9333333333333333,0.8718743386243386
multilingual-e5-base,0.2,darija_query,0.62,0.75,0.7933333333333333,0.83,0.6938492063492063
multilingual-e5-base,0.2,M4_rulebased,0.6066666666666667,0.7333333333333333,0.7866666666666666,0.82,0.680234126984127
multilingual-e5-base,0.2,M3_rule_expansion,0.6033333333333334,0.74,0.7866666666666666,0.82,0.6820079365079365
multilingual-e5-base,0.4,msa_query,0.86,0.93,0.9366666666666666,0.9433333333333334,0.8935039682539683
multilingual-e5-base,0.4,darija_query,0.67,0.7833333333333333,0.8133333333333334,0.85,0.734373015873016
multilingual-e5-base,0.4,M4_rulebased,0.6566666666666666,0.7766666666666666,0.8266666666666667,0.8533333333333334,0.7277685185185185
multilingual-e5-base,0.4,M3_rule_expansion,0.6633333333333333,0.7833333333333333,0.8133333333333334,0.8533333333333334,0.7306084656084656
multilingual-e5-base,0.6,msa_query,0.8933333333333333,0.9466666666666667,0.95,0.9733333333333334,0.9222711640211639
multilingual-e5-base,0.6,darija_query,0.71,0.8133333333333334,0.84,0.8733333333333333,0.7664656084656084
multilingual-e5-base,0.6,M4_rulebased,0.72,0.82,0.8433333333333334,0.88,0.7725555555555556
multilingual-e5-base,0.6,M3_rule_expansion,0.7266666666666667,0.81,0.8333333333333334,0.8733333333333333,0.7734470899470899
multilingual-e5-base,0.8,msa_query,0.91,0.9733333333333334,0.98,0.9866666666666667,0.9408465608465608
multilingual-e5-base,0.8,darija_query,0.7233333333333334,0.83,0.86,0.9,0.784271164021164
multilingual-e5-base,0.8,M4_rulebased,0.7466666666666667,0.8566666666666667,0.88,0.9,0.8035542328042328
multilingual-e5-base,0.8,M3_rule_expansion,0.73,0.83,0.86,0.8933333333333333,0.787734126984127
multilingual-e5-base,1.0,msa_query,0.9,0.96,0.9766666666666667,0.9833333333333333,0.9325873015873016
multilingual-e5-base,1.0,darija_query,0.6433333333333333,0.7533333333333333,0.7866666666666666,0.8133333333333334,0.7035039682539682
multilingual-e5-base,1.0,M4_rulebased,0.6966666666666667,0.7966666666666666,0.8233333333333334,0.88,0.7576825396825396
multilingual-e5-base,1.0,M3_rule_expansion,0.6333333333333333,0.75,0.79,0.8133333333333334,0.6968134920634921
paraphrase-multilingual-mpnet-base-v2,0.0,msa_query,0.8033333333333333,0.88,0.9033333333333333,0.9233333333333333,0.8482301587301587
paraphrase-multilingual-mpnet-base-v2,0.0,darija_query,0.5633333333333334,0.7266666666666667,0.7633333333333333,0.8033333333333333,0.6507460317460317
paraphrase-multilingual-mpnet-base-v2,0.0,M4_rulebased,0.5433333333333333,0.7,0.74,0.7933333333333333,0.6264272486772486
paraphrase-multilingual-mpnet-base-v2,0.0,M3_rule_expansion,0.5533333333333333,0.72,0.76,0.8033333333333333,0.6418902116402116
paraphrase-multilingual-mpnet-base-v2,0.2,msa_query,0.83,0.9,0.9166666666666666,0.9333333333333333,0.8688148148148148
paraphrase-multilingual-mpnet-base-v2,0.2,darija_query,0.6066666666666667,0.7566666666666667,0.8,0.82,0.6843227513227513
paraphrase-multilingual-mpnet-base-v2,0.2,M4_rulebased,0.58,0.7433333333333333,0.7866666666666666,0.8166666666666667,0.663984126984127
paraphrase-multilingual-mpnet-base-v2,0.2,M3_rule_expansion,0.5833333333333334,0.7466666666666667,0.79,0.8166666666666667,0.668207671957672
paraphrase-multilingual-mpnet-base-v2,0.4,msa_query,0.8533333333333334,0.9166666666666666,0.9233333333333333,0.94,0.8852116402116401
paraphrase-multilingual-mpnet-base-v2,0.4,darija_query,0.6366666666666667,0.7666666666666667,0.8066666666666666,0.83,0.7071044973544973
paraphrase-multilingual-mpnet-base-v2,0.4,M4_rulebased,0.6,0.7666666666666667,0.7966666666666666,0.84,0.6889933862433862
paraphrase-multilingual-mpnet-base-v2,0.4,M3_rule_expansion,0.62,0.7533333333333333,0.8,0.8333333333333334,0.6957063492063491
paraphrase-multilingual-mpnet-base-v2,0.6,msa_query,0.86,0.9233333333333333,0.9333333333333333,0.95,0.8924484126984127
paraphrase-multilingual-mpnet-base-v2,0.6,darija_query,0.6533333333333333,0.76,0.7966666666666666,0.85,0.7161177248677248
paraphrase-multilingual-mpnet-base-v2,0.6,M4_rulebased,0.6466666666666666,0.78,0.8033333333333333,0.8533333333333334,0.7170899470899471
paraphrase-multilingual-mpnet-base-v2,0.6,M3_rule_expansion,0.63,0.7533333333333333,0.79,0.8266666666666667,0.6956732804232804
paraphrase-multilingual-mpnet-base-v2,0.8,msa_query,0.8133333333333334,0.8733333333333333,0.9033333333333333,0.9333333333333333,0.851234126984127
paraphrase-multilingual-mpnet-base-v2,0.8,darija_query,0.5,0.6233333333333333,0.67,0.73,0.5765992063492064
paraphrase-multilingual-mpnet-base-v2,0.8,M4_rulebased,0.59,0.7233333333333334,0.7566666666666667,0.8033333333333333,0.6616402116402117
paraphrase-multilingual-mpnet-base-v2,0.8,M3_rule_expansion,0.49666666666666665,0.6233333333333333,0.6766666666666666,0.7366666666666667,0.5748968253968254
paraphrase-multilingual-mpnet-base-v2,1.0,msa_query,0.5933333333333334,0.75,0.7933333333333333,0.84,0.6805582010582011
paraphrase-multilingual-mpnet-base-v2,1.0,darija_query,0.24666666666666667,0.4066666666666667,0.47,0.5666666666666667,0.3450462962962963
paraphrase-multilingual-mpnet-base-v2,1.0,M4_rulebased,0.35333333333333333,0.53,0.59,0.6733333333333333,0.4583134920634921
paraphrase-multilingual-mpnet-base-v2,1.0,M3_rule_expansion,0.26,0.4,0.47333333333333333,0.58,0.3573121693121693
DarijaBERT,0.0,msa_query,0.8033333333333333,0.88,0.9033333333333333,0.9233333333333333,0.8482301587301587
