qid,retrieve_ms,rerank_ms,total_ms
w067,47.76436299994202,1524.752615999887,1572.516978999829
w188,32.131908999872394,1321.9470799999726,1354.078988999845
w102,36.039856999877884,1184.333322999919,1220.3731799997968
w194,87.20353299986527,1548.9204600000903,1636.1239929999556
w112,111.00092199990286,1797.9957210000066,1908.9966429999095
w122,60.799336999934894,1247.2221090001767,1308.0214460001116
w014,68.53078199992524,1297.2574259999874,1365.7882079999126
w003,35.306971999943926,1311.7838690000099,1347.0908409999538
w065,32.069440999975996,1516.9124589999683,1548.9818999999443
w045,37.534145999870816,1239.776577000157,1277.3107230000278
w137,39.71479400001954,1875.5863019998742,1915.3010959998937
w171,103.23139299998729,1492.1596110000337,1595.391004000021
w129,74.3322769999395,1487.9701790000581,1562.3024559999976
w077,25.91734899988296,1323.301046999859,1349.218395999742
w159,31.330508000110058,1338.3941320000758,1369.724640000186
w168,47.45840799978396,1676.6375140000491,1724.095921999833
w046,21.751098000095226,1451.440360000106,1473.1914580002012
w131,26.40157599989834,1341.7084220000106,1368.109997999909
w031,25.91130699988753,1311.4559099999497,1337.3672169998372
w004,26.210177000166368,1467.7422119998482,1493.9523890000146
w160,25.158731999908923,1480.6627629998275,1505.8214949997364
w016,24.216427000055774,1409.8019770001429,1434.0184040001986
w043,24.964142000044376,1557.7339610001673,1582.6981030002116
w127,43.476416999965295,1427.2099150000486,1470.6863320000139
w187,19.11688499990305,1374.8364599998695,1393.9533449997725
w163,22.365505999914603,1525.1580990000093,1547.523604999924
w048,21.081284000047162,1343.0038599999534,1364.0851440000006
w111,19.231415999911405,1898.744688000079,1917.9761039999903
w006,30.53702199986219,1353.757602999849,1384.2946249997112
w195,23.245709000093484,1344.7505990000082,1367.9963080001016
w038,24.564289999943867,1304.3929170000865,1328.9572070000304
w123,30.58970400002181,1456.2410359999376,1486.8307399999594
w013,50.3951660000439,1558.0175820000477,1608.4127480000916
w037,21.096887999874525,1349.2953889999626,1370.3922769998371
w154,26.963991000002352,1348.1522419999692,1375.1162329999715
w070,22.640502000058405,1310.781089000102,1333.4215910001603
w062,83.45222200000535,1349.2268730001342,1432.6790950001396
w196,23.536485000022367,1334.5580399998198,1358.0945249998422
w033,29.318599999896833,1298.1674709999425,1327.4860709998393
w173,22.641404000069087,1417.2592109998732,1439.9006149999423
w172,27.862400999993042,1289.6508369999538,1317.5132379999468
w061,42.81183500006591,1329.728343999932,1372.5401789999978
w011,26.21443700013515,1156.1121769998408,1182.326613999976
w145,27.091883000139205,1360.749197000132,1387.8410800002712
w161,20.5519160001586,1303.4973500000433,1324.049266000202
w053,38.10255100006543,1668.656220999992,1706.7587720000574
w126,22.272640999972282,1362.092203999964,1384.3648449999364
w107,40.388097000004564,1317.9325309999967,1358.3206280000013
w074,23.234211000044525,1330.2209450000646,1353.4551560001091
w114,29.968270999916058,1318.670516000111,1348.6387870000272
w106,32.0365990000937,1286.9797079999898,1319.0163070000835
w096,24.268935999998575,1267.6220160001321,1291.8909520001307
w104,25.21103399999447,1119.9873129999105,1145.198346999905
w146,24.399764999998297,1440.9430919999977,1465.342856999996
w044,27.996278000046004,1300.3244219999033,1328.3206999999493
w001,22.706470999992234,1345.2534959999412,1367.9599669999334
w162,22.95075300003191,1440.028452999968,1462.979206
w193,23.08563600013258,1404.9140270001317,1427.9996630002643
w017,49.57850999994662,1412.5469890000204,1462.125498999967
w081,31.141688999923645,1347.4786659999154,1378.620354999839
w103,23.339283000041178,1366.9672419998733,1390.3065249999145
w039,24.72223299992038,1475.6604249998873,1500.3826579998076
w157,24.57056299999749,1578.215741999884,1602.7863049998814
w177,25.50405600004524,1266.1128150000422,1291.6168710000875
w136,19.82719200009342,1279.8075519999657,1299.634744000059
w079,22.36204100017858,1575.7484370001293,1598.110478000308
w116,26.622512000130882,1401.8689449999329,1428.4914570000637
w020,46.15228400007254,1278.420745999938,1324.5730300000105
w015,49.3196600000374,1198.8507490000302,1248.1704090000676
w178,22.911226000132956,1349.0986490000978,1372.0098750002307
w147,20.81214899999395,1405.7842960000926,1426.5964450000865
w180,103.2080089998999,1393.6290510000617,1496.8370599999616
w066,77.41974400005347,1571.6318120000778,1649.0515560001313
w085,119.10773299996436,1388.594034000107,1507.7017670000714
w166,86.34954300009667,2028.5268120001092,2114.876355000206
w047,152.66885300002286,1402.2175079999215,1554.8863609999444
w105,54.58672800000386,1352.2197079998932,1406.806435999897
w080,22.996920999958093,1369.780879000018,1392.7777999999762
w055,24.686383000016576,1349.1690470000322,1373.8554300000487
w197,28.470155999912095,2153.09027100011,2181.560427000022
w086,19.90358600005493,1393.3653459998823,1413.2689319999372
w119,27.1699349998471,1356.9082220001292,1384.0781569999763
w110,22.928958000193234,1329.7553439999774,1352.6843020001706
w134,21.899179999991247,1226.5306740000597,1248.429854000051
w143,28.748026000130267,1722.2167029999582,1750.9647290000885
w034,21.279210999864517,1432.516865000025,1453.7960759998896
w019,25.303432000100656,1283.6114719998477,1308.9149039999484
w141,21.22160499993697,1352.1262690001095,1373.3478740000464
w124,25.037318000158848,1433.6996760000602,1458.736994000219
w176,22.541455999999016,1322.1228809998138,1344.6643369998128
w064,22.783066999863877,1347.5657129999945,1370.3487799998584
w084,22.47619000013401,1382.1313630000986,1404.6075530002327
w149,23.0269200001203,1385.8807819999583,1408.9077020000786
w101,47.34482499998194,1337.3151700000108,1384.6599949999927
w156,23.201240999924266,1650.7008030000634,1673.9020439999877
w073,21.58214400014913,1211.2947779999104,1232.8769220000595
w028,25.44560100000126,1544.0231560000939,1569.4687570000951
w185,27.513589999898613,1445.3425919998608,1472.8561819997594
w113,27.799785000070187,1508.0766260000473,1535.8764110001175
w052,19.431349999877057,1379.281466999828,1398.712816999705
