query,tau,R@1,R@5,MRR,frac_reranked
msa_query,0.0,0.755,0.95,0.8374138520792933,0.0
msa_query,0.01,0.785,0.95,0.8562471854126267,0.06
msa_query,0.02,0.795,0.955,0.8634346854126265,0.105
msa_query,0.03,0.815,0.96,0.8766846854126266,0.14
msa_query,0.05,0.82,0.97,0.8830572344322343,0.21
msa_query,0.07,0.85,0.975,0.9073905677655678,0.295
msa_query,0.1,0.865,0.975,0.9159739010989011,0.405
msa_query,0.15,0.875,0.99,0.9243809523809523,0.62
msa_query,0.2,0.875,0.99,0.9243809523809523,0.74
msa_query,0.3,0.875,0.995,0.9249166666666667,0.935
msa_query,0.5,0.875,0.995,0.9249166666666667,1.0
msa_query,inf,0.875,0.995,0.9249166666666667,1.0
darija_query,0.0,0.62,0.905,0.7415624558190348,0.0
darija_query,0.01,0.645,0.92,0.7619235669301457,0.07
darija_query,0.02,0.655,0.925,0.7739513447079236,0.15
darija_query,0.03,0.675,0.925,0.784784678041257,0.175
darija_query,0.05,0.735,0.94,0.821612058993638,0.295
darija_query,0.07,0.78,0.95,0.8564811066126856,0.42
darija_query,0.1,0.79,0.955,0.8626798245614035,0.545
darija_query,0.15,0.795,0.96,0.8697499999999999,0.725
darija_query,0.2,0.8,0.96,0.87225,0.815
darija_query,0.3,0.8,0.96,0.87225,0.97
darija_query,0.5,0.8,0.96,0.87225,1.0
darija_query,inf,0.8,0.96,0.87225,1.0
