tau,darija_query,msa_query,gap,mean_frac_reranked
0.0,0.62,0.755,0.135,0.0
0.01,0.645,0.785,0.14,0.065
0.02,0.655,0.795,0.14,0.1275
0.03,0.675,0.815,0.1399999999999999,0.1575
0.05,0.735,0.82,0.08499999999999996,0.2525
0.07,0.78,0.85,0.06999999999999995,0.3575
0.1,0.79,0.865,0.07499999999999996,0.47500000000000003
0.15,0.795,0.875,0.07999999999999996,0.6725
0.2,0.8,0.875,0.07499999999999996,0.7775
0.3,0.8,0.875,0.07499999999999996,0.9525
0.5,0.8,0.875,0.07499999999999996,1.0
inf,0.8,0.875,0.07499999999999996,1.0
