method,query,depth,R@1,R@3,R@5,R@10,MRR
no_rerank,msa_query,10,0.755,0.895,0.95,0.975,0.8360892857142858
no_rerank,darija_query,10,0.62,0.83,0.905,0.95,0.7401646825396824
no_rerank,msa_query,20,0.755,0.895,0.95,0.975,0.8374138520792933
no_rerank,darija_query,20,0.62,0.83,0.905,0.95,0.7415624558190348
no_rerank,msa_query,50,0.755,0.895,0.95,0.975,0.8376519473173886
no_rerank,darija_query,50,0.62,0.83,0.905,0.95,0.7420988314804104
bge-reranker-v2-m3,msa_query,10,0.88,0.955,0.975,0.975,0.9216666666666665
bge-reranker-v2-m3,msa_query,20,0.875,0.96,0.995,0.995,0.9249166666666667
bge-reranker-v2-m3,msa_query,50,0.88,0.965,1.0,1.0,0.9299166666666667
bge-reranker-v2-m3,darija_query,10,0.8,0.935,0.95,0.95,0.8665833333333333
bge-reranker-v2-m3,darija_query,20,0.8,0.94,0.96,0.97,0.87225
bge-reranker-v2-m3,darija_query,50,0.8,0.95,0.975,0.985,0.8771666666666667
bge-reranker-base,msa_query,10,0.6,0.835,0.905,0.975,0.7310555555555556
bge-reranker-base,msa_query,20,0.52,0.755,0.845,0.935,0.6605338521772345
bge-reranker-base,msa_query,50,0.445,0.64,0.74,0.85,0.5762819734885822
bge-reranker-base,darija_query,10,0.445,0.7,0.785,0.95,0.5978789682539682
bge-reranker-base,darija_query,20,0.365,0.62,0.72,0.815,0.5271955225931619
bge-reranker-base,darija_query,50,0.305,0.505,0.62,0.73,0.43365121262017703
GATE-Reranker-V1,msa_query,10,0.825,0.925,0.96,0.975,0.8828333333333334
GATE-Reranker-V1,msa_query,20,0.82,0.925,0.95,0.99,0.8822708333333334
GATE-Reranker-V1,msa_query,50,0.81,0.93,0.95,0.965,0.877162769828211
GATE-Reranker-V1,darija_query,10,0.685,0.88,0.91,0.95,0.7893095238095238
GATE-Reranker-V1,darija_query,20,0.69,0.88,0.92,0.945,0.790351572039072
GATE-Reranker-V1,darija_query,50,0.675,0.86,0.905,0.93,0.7784537952530877
Namaa-ARA-Reranker-V1,msa_query,10,0.61,0.825,0.89,0.975,0.7334325396825397
Namaa-ARA-Reranker-V1,msa_query,20,0.6,0.775,0.83,0.93,0.7090507727566552
Namaa-ARA-Reranker-V1,msa_query,50,0.57,0.74,0.795,0.855,0.675271449376464
Namaa-ARA-Reranker-V1,darija_query,10,0.545,0.755,0.86,0.95,0.6755654761904762
Namaa-ARA-Reranker-V1,darija_query,20,0.5,0.69,0.765,0.89,0.6265978188478187
Namaa-ARA-Reranker-V1,darija_query,50,0.435,0.62,0.695,0.785,0.5577571693718381
