encoder,subset,variant,metric,value,lo,hi
DarijaBERT,pilot,msa_query,R@1,0.8766666666666667,0.84,0.9133333333333333
DarijaBERT,pilot,msa_query,R@3,0.9333333333333333,0.9033333333333333,0.9566666666666667
DarijaBERT,pilot,msa_query,R@5,0.9466666666666667,0.9166666666666666,0.97
DarijaBERT,pilot,msa_query,R@10,0.9533333333333334,0.9266666666666666,0.9733333333333334
DarijaBERT,pilot,msa_query,MRR,0.9072870370370371,0.8772256944444444,0.9344002314814814
DarijaBERT,pilot,darija_query,R@1,0.7366666666666667,0.6833333333333333,0.7866666666666666
DarijaBERT,pilot,darija_query,R@3,0.86,0.8233333333333334,0.8967499999999998
DarijaBERT,pilot,darija_query,R@5,0.8866666666666667,0.85,0.9233333333333333
DarijaBERT,pilot,darija_query,R@10,0.9366666666666666,0.9066666666666666,0.9633333333333334
DarijaBERT,pilot,darija_query,MRR,0.811063492063492,0.7753350198412698,0.8481246031746031
DarijaBERT,pilot,M4_rulebased,R@1,0.7333333333333333,0.68,0.78
DarijaBERT,pilot,M4_rulebased,R@3,0.8533333333333334,0.81,0.8933333333333333
DarijaBERT,pilot,M4_rulebased,R@5,0.8866666666666667,0.8466666666666667,0.92
DarijaBERT,pilot,M4_rulebased,R@10,0.9166666666666666,0.8833333333333333,0.9466666666666667
DarijaBERT,pilot,M4_rulebased,MRR,0.8024933862433862,0.7606526124338624,0.8436614087301588
DarijaBERT,pilot,M3_rule_expansion,R@1,0.7366666666666667,0.6866666666666666,0.7833333333333333
DarijaBERT,pilot,M3_rule_expansion,R@3,0.8833333333333333,0.8466666666666667,0.92
DarijaBERT,pilot,M3_rule_expansion,R@5,0.9033333333333333,0.87,0.9333333333333333
DarijaBERT,pilot,M3_rule_expansion,R@10,0.9266666666666666,0.8966666666666666,0.9533333333333334
DarijaBERT,pilot,M3_rule_expansion,MRR,0.8141851851851852,0.7775877314814814,0.8498391203703705
DarijaBERT,wikipedia,msa_query,R@1,0.365,0.294875,0.43012499999999987
DarijaBERT,wikipedia,msa_query,R@3,0.56,0.495,0.6251249999999999
DarijaBERT,wikipedia,msa_query,R@5,0.645,0.58,0.71
DarijaBERT,wikipedia,msa_query,R@10,0.72,0.66,0.78
DarijaBERT,wikipedia,msa_query,MRR,0.4854345238095238,0.42722748015873013,0.5423046626984127
DarijaBERT,wikipedia,darija_query,R@1,0.245,0.185,0.31
DarijaBERT,wikipedia,darija_query,R@3,0.43,0.365,0.49512499999999987
DarijaBERT,wikipedia,darija_query,R@5,0.515,0.449875,0.585
DarijaBERT,wikipedia,darija_query,R@10,0.625,0.56,0.685125
DarijaBERT,wikipedia,darija_query,MRR,0.358795634920635,0.3037314484126984,0.41338467261904766
DarijaBERT,wikipedia,M4_rulebased,R@1,0.245,0.185,0.31
DarijaBERT,wikipedia,M4_rulebased,R@3,0.455,0.385,0.525
DarijaBERT,wikipedia,M4_rulebased,R@5,0.525,0.45487500000000003,0.595
DarijaBERT,wikipedia,M4_rulebased,R@10,0.635,0.57,0.7
DarijaBERT,wikipedia,M4_rulebased,MRR,0.3671666666666667,0.3151295634920635,0.42198779761904764
DarijaBERT,wikipedia,M3_rule_expansion,R@1,0.24,0.19,0.3
DarijaBERT,wikipedia,M3_rule_expansion,R@3,0.425,0.36,0.495
DarijaBERT,wikipedia,M3_rule_expansion,R@5,0.53,0.46487500000000004,0.595
DarijaBERT,wikipedia,M3_rule_expansion,R@10,0.62,0.55,0.68
DarijaBERT,wikipedia,M3_rule_expansion,MRR,0.3580277777777778,0.3069409722222222,0.4138336805555555
multilingual-e5-base,pilot,msa_query,R@1,0.91,0.8766666666666667,0.94
multilingual-e5-base,pilot,msa_query,R@3,0.9733333333333334,0.9533333333333334,0.99
multilingual-e5-base,pilot,msa_query,R@5,0.98,0.9633333333333334,0.9933333333333333
multilingual-e5-base,pilot,msa_query,R@10,0.9866666666666667,0.9733333333333334,0.9966666666666667
multilingual-e5-base,pilot,msa_query,MRR,0.9408465608465607,0.9182665343915343,0.9618541666666667
multilingual-e5-base,pilot,darija_query,R@1,0.7233333333333334,0.67325,0.77
multilingual-e5-base,pilot,darija_query,R@3,0.83,0.7866666666666666,0.87
multilingual-e5-base,pilot,darija_query,R@5,0.86,0.82,0.9
multilingual-e5-base,pilot,darija_query,R@10,0.9,0.8633333333333333,0.9333333333333333
multilingual-e5-base,pilot,darija_query,MRR,0.784271164021164,0.7410841931216932,0.8255699404761904
multilingual-e5-base,pilot,M4_rulebased,R@1,0.7466666666666667,0.70325,0.7933333333333333
multilingual-e5-base,pilot,M4_rulebased,R@3,0.8566666666666667,0.8133333333333334,0.8933333333333333
multilingual-e5-base,pilot,M4_rulebased,R@5,0.88,0.8433333333333334,0.9166666666666666
multilingual-e5-base,pilot,M4_rulebased,R@10,0.9,0.8633333333333333,0.93
multilingual-e5-base,pilot,M4_rulebased,MRR,0.8035542328042328,0.7632407076719576,0.8454233134920635
multilingual-e5-base,pilot,M3_rule_expansion,R@1,0.73,0.6799166666666667,0.78
multilingual-e5-base,pilot,M3_rule_expansion,R@3,0.83,0.7833333333333333,0.87
multilingual-e5-base,pilot,M3_rule_expansion,R@5,0.86,0.8166666666666667,0.8966666666666666
multilingual-e5-base,pilot,M3_rule_expansion,R@10,0.8933333333333333,0.8566666666666667,0.9266666666666666
multilingual-e5-base,pilot,M3_rule_expansion,MRR,0.787734126984127,0.7446199404761905,0.829978869047619
multilingual-e5-base,wikipedia,msa_query,R@1,0.755,0.695,0.815
multilingual-e5-base,wikipedia,msa_query,R@3,0.895,0.855,0.935
multilingual-e5-base,wikipedia,msa_query,R@5,0.95,0.915,0.98
multilingual-e5-base,wikipedia,msa_query,R@10,0.975,0.95,0.995
multilingual-e5-base,wikipedia,msa_query,MRR,0.8360892857142858,0.7975315476190478,0.8764005952380952
multilingual-e5-base,wikipedia,darija_query,R@1,0.62,0.55,0.68
multilingual-e5-base,wikipedia,darija_query,R@3,0.83,0.775,0.88
multilingual-e5-base,wikipedia,darija_query,R@5,0.905,0.865,0.945
multilingual-e5-base,wikipedia,darija_query,R@10,0.95,0.92,0.975
multilingual-e5-base,wikipedia,darija_query,MRR,0.7401646825396824,0.6882628968253969,0.7871455357142856
multilingual-e5-base,wikipedia,M4_rulebased,R@1,0.68,0.615,0.74
multilingual-e5-base,wikipedia,M4_rulebased,R@3,0.85,0.8,0.895
multilingual-e5-base,wikipedia,M4_rulebased,R@5,0.915,0.875,0.95
multilingual-e5-base,wikipedia,M4_rulebased,R@10,0.945,0.91,0.975
multilingual-e5-base,wikipedia,M4_rulebased,MRR,0.7802261904761905,0.7311913690476188,0.8258482142857143
multilingual-e5-base,wikipedia,M3_rule_expansion,R@1,0.63,0.565,0.7
multilingual-e5-base,wikipedia,M3_rule_expansion,R@3,0.82,0.765,0.8701249999999999
multilingual-e5-base,wikipedia,M3_rule_expansion,R@5,0.905,0.865,0.945
multilingual-e5-base,wikipedia,M3_rule_expansion,R@10,0.955,0.925,0.98
multilingual-e5-base,wikipedia,M3_rule_expansion,MRR,0.7434980158730159,0.6947421130952381,0.7913075892857144
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,R@1,0.83,0.7833333333333333,0.8733333333333333
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,R@3,0.9,0.8665833333333334,0.9333333333333333
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,R@5,0.9166666666666666,0.8866666666666667,0.9466666666666667
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,R@10,0.93,0.9,0.9566666666666667
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,MRR,0.8676388888888887,0.8319694444444443,0.901036111111111
paraphrase-multilingual-MiniLM-L12-v2,pilot,darija_query,R@1,0.6,0.5433333333333333,0.6533333333333333
paraphrase-multilingual-MiniLM-L12-v2,pilot,darija_query,R@3,0.73,0.6833333333333333,0.78
