seed,epochs,n_train,n_test,darija_before_R@1,darija_after_R@1,msa_before_R@1,msa_after_R@1,darija_before_R@5,darija_after_R@5,msa_before_R@5,msa_after_R@5,darija_before_MRR,darija_after_MRR,msa_before_MRR,msa_after_MRR
42,2,132,68,0.6911764705882353,0.7205882352941176,0.7647058823529411,0.7794117647058824,0.8970588235294118,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.7814309056956116,0.7932598039215686,0.8356792717086835,0.846218487394958
42,3,132,68,0.6911764705882353,0.75,0.7647058823529411,0.8088235294117647,0.8970588235294118,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.7814309056956116,0.805672268907563,0.8356792717086835,0.8644607843137254
42,5,132,68,0.6911764705882353,0.7205882352941176,0.7647058823529411,0.7941176470588235,0.8970588235294118,0.9117647058823529,0.9411764705882353,0.9411764705882353,0.7814309056956116,0.7957107843137255,0.8356792717086835,0.854656862745098
7,2,136,64,0.5,0.515625,0.6875,0.734375,0.921875,0.84375,0.921875,0.9375,0.6659722222222222,0.668421378968254,0.7867187499999999,0.8187500000000001
7,3,136,64,0.5,0.578125,0.6875,0.765625,0.921875,0.875,0.921875,0.9375,0.6659722222222222,0.6987599206349207,0.7867187499999999,0.8338541666666667
7,5,136,64,0.5,0.625,0.6875,0.78125,0.921875,0.84375,0.921875,0.9375,0.6659722222222222,0.7259114583333334,0.7867187499999999,0.846875
123,2,127,73,0.5342465753424658,0.5616438356164384,0.6712328767123288,0.6575342465753424,0.8904109589041096,0.8767123287671232,0.9041095890410958,0.9041095890410958,0.6836160034790173,0.7009295499021526,0.7656392694063927,0.7645357686453575
123,3,127,73,0.5342465753424658,0.5753424657534246,0.6712328767123288,0.6438356164383562,0.8904109589041096,0.8904109589041096,0.9041095890410958,0.9041095890410958,0.6836160034790173,0.7101761252446184,0.7656392694063927,0.7540117416829746
123,5,127,73,0.5342465753424658,0.6164383561643836,0.6712328767123288,0.6712328767123288,0.8904109589041096,0.8767123287671232,0.9041095890410958,0.9178082191780822,0.6836160034790173,0.7288975864318331,0.7656392694063927,0.7710045662100456
2024,2,128,72,0.5555555555555556,0.625,0.75,0.75,0.8611111111111112,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.6838679453262786,0.7366898148148149,0.8295304232804234,0.8340443121693121
2024,3,128,72,0.5555555555555556,0.6111111111111112,0.75,0.7777777777777778,0.8611111111111112,0.9027777777777778,0.9444444444444444,0.9444444444444444,0.6838679453262786,0.736574074074074,0.8295304232804234,0.8490906084656085
2024,5,128,72,0.5555555555555556,0.6388888888888888,0.75,0.7777777777777778,0.8611111111111112,0.9166666666666666,0.9444444444444444,0.9583333333333334,0.6838679453262786,0.7475859788359789,0.8295304232804234,0.8494212962962963
777,2,136,64,0.515625,0.578125,0.65625,0.671875,0.875,0.875,0.90625,0.921875,0.6731522817460318,0.7079861111111111,0.7695498511904761,0.7901227678571429
777,3,136,64,0.515625,0.59375,0.65625,0.703125,0.875,0.90625,0.90625,0.921875,0.6731522817460318,0.7290550595238096,0.7695498511904761,0.8052455357142857
777,5,136,64,0.515625,0.546875,0.65625,0.6875,0.875,0.9375,0.90625,0.921875,0.6731522817460318,0.707421875,0.7695498511904761,0.7978050595238095
